instant,dteday,season,year,month,hour,holiday,day,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,count,activity_cluster
74,2011-01-04,Spring,2011,Jan,5,0,Tue,Weekday,Clear,0.12,0.1515,0.68,0.1045,0,4,4,Low Activity
75,2011-01-04,Spring,2011,Jan,6,0,Tue,Weekday,Clear,0.12,0.1515,0.74,0.1045,0,36,36,Low Activity
76,2011-01-04,Spring,2011,Jan,7,0,Tue,Weekday,Clear,0.12,0.1515,0.74,0.1343,2,92,94,Medium Activity
77,2011-01-04,Spring,2011,Jan,8,0,Tue,Weekday,Clear,0.14,0.1515,0.69,0.1642,2,177,179,Medium Activity
78,2011-01-04,Spring,2011,Jan,9,0,Tue,Weekday,Clear,0.16,0.1515,0.64,0.2239,2,98,100,Medium Activity
79,2011-01-04,Spring,2011,Jan,10,0,Tue,Weekday,Misty,0.16,0.1364,0.69,0.3284,5,37,42,Medium Activity
80,2011-01-04,Spring,2011,Jan,11,0,Tue,Weekday,Clear,0.22,0.2121,0.51,0.2985,7,50,57,Medium Activity
81,2011-01-04,Spring,2011,Jan,12,0,Tue,Weekday,Clear,0.22,0.2273,0.51,0.1642,12,66,78,Medium Activity
82,2011-01-04,Spring,2011,Jan,13,0,Tue,Weekday,Clear,0.24,0.2273,0.56,0.194,18,79,97,Medium Activity
83,2011-01-04,Spring,2011,Jan,14,0,Tue,Weekday,Clear,0.26,0.2576,0.52,0.2239,9,54,63,Medium Activity
84,2011-01-04,Spring,2011,Jan,15,0,Tue,Weekday,Clear,0.28,0.2727,0.52,0.2537,17,48,65,Medium Activity
85,2011-01-04,Spring,2011,Jan,16,0,Tue,Weekday,Clear,0.3,0.2879,0.49,0.2537,15,68,83,Medium Activity
86,2011-01-04,Spring,2011,Jan,17,0,Tue,Weekday,Clear,0.28,0.2727,0.48,0.2239,10,202,212,Medium Activity
87,2011-01-04,Spring,2011,Jan,18,0,Tue,Weekday,Clear,0.26,0.2576,0.48,0.194,3,179,182,Medium Activity
88,2011-01-04,Spring,2011,Jan,19,0,Tue,Weekday,Clear,0.24,0.2576,0.48,0.1045,2,110,112,Medium Activity
89,2011-01-04,Spring,2011,Jan,20,0,Tue,Weekday,Clear,0.24,0.2576,0.48,0.1045,1,53,54,Medium Activity
90,2011-01-04,Spring,2011,Jan,21,0,Tue,Weekday,Clear,0.22,0.2727,0.64,0.0,0,48,48,Medium Activity
91,2011-01-04,Spring,2011,Jan,22,0,Tue,Weekday,Clear,0.22,0.2576,0.64,0.0896,1,34,35,Low Activity
92,2011-01-04,Spring,2011,Jan,23,0,Tue,Weekday,Clear,0.2,0.2273,0.69,0.0896,2,9,11,Low Activity
93,2011-01-05,Spring,2011,Jan,0,0,Wed,Weekday,Clear,0.2,0.2576,0.64,0.0,0,6,6,Low Activity
94,2011-01-05,Spring,2011,Jan,1,0,Wed,Weekday,Clear,0.16,0.197,0.74,0.0896,0,6,6,Low Activity
95,2011-01-05,Spring,2011,Jan,2,0,Wed,Weekday,Clear,0.16,0.197,0.74,0.0896,0,2,2,Low Activity
96,2011-01-05,Spring,2011,Jan,4,0,Wed,Weekday,Clear,0.24,0.2273,0.48,0.2239,0,2,2,Low Activity
97,2011-01-05,Spring,2011,Jan,5,0,Wed,Weekday,Clear,0.22,0.2273,0.47,0.1642,0,3,3,Low Activity
98,2011-01-05,Spring,2011,Jan,6,0,Wed,Weekday,Clear,0.2,0.197,0.47,0.2239,0,33,33,Low Activity
99,2011-01-05,Spring,2011,Jan,7,0,Wed,Weekday,Clear,0.18,0.1818,0.43,0.194,1,87,88,Medium Activity
100,2011-01-05,Spring,2011,Jan,8,0,Wed,Weekday,Clear,0.2,0.1818,0.4,0.2985,3,192,195,Medium Activity
101,2011-01-05,Spring,2011,Jan,9,0,Wed,Weekday,Clear,0.22,0.197,0.37,0.3284,6,109,115,Medium Activity
102,2011-01-05,Spring,2011,Jan,10,0,Wed,Weekday,Clear,0.22,0.197,0.37,0.3284,4,53,57,Medium Activity
103,2011-01-05,Spring,2011,Jan,11,0,Wed,Weekday,Clear,0.26,0.2273,0.33,0.3284,12,34,46,Medium Activity
104,2011-01-05,Spring,2011,Jan,12,0,Wed,Weekday,Clear,0.26,0.2273,0.33,0.3284,5,74,79,Medium Activity
105,2011-01-05,Spring,2011,Jan,13,0,Wed,Weekday,Clear,0.28,0.2576,0.3,0.2985,6,65,71,Medium Activity
106,2011-01-05,Spring,2011,Jan,14,0,Wed,Weekday,Clear,0.3,0.2879,0.28,0.194,10,52,62,Medium Activity
107,2011-01-05,Spring,2011,Jan,15,0,Wed,Weekday,Clear,0.3,0.2879,0.28,0.194,7,55,62,Medium Activity
108,2011-01-05,Spring,2011,Jan,16,0,Wed,Weekday,Clear,0.3,0.3182,0.28,0.0896,4,85,89,Medium Activity
109,2011-01-05,Spring,2011,Jan,17,0,Wed,Weekday,Clear,0.24,0.2273,0.38,0.194,4,186,190,Medium Activity
110,2011-01-05,Spring,2011,Jan,18,0,Wed,Weekday,Clear,0.24,0.2424,0.38,0.1343,3,166,169,Medium Activity
111,2011-01-05,Spring,2011,Jan,19,0,Wed,Weekday,Clear,0.24,0.2576,0.38,0.1045,5,127,132,Medium Activity
112,2011-01-05,Spring,2011,Jan,20,0,Wed,Weekday,Clear,0.22,0.2273,0.47,0.1642,7,82,89,Medium Activity
113,2011-01-05,Spring,2011,Jan,21,0,Wed,Weekday,Clear,0.2,0.197,0.51,0.194,3,40,43,Medium Activity
114,2011-01-05,Spring,2011,Jan,22,0,Wed,Weekday,Clear,0.18,0.197,0.55,0.1343,1,41,42,Medium Activity
115,2011-01-05,Spring,2011,Jan,23,0,Wed,Weekday,Clear,0.2,0.2576,0.47,0.0,1,18,19,Low Activity
116,2011-01-06,Spring,2011,Jan,0,0,Thu,Weekday,Clear,0.18,0.2424,0.55,0.0,0,11,11,Low Activity
117,2011-01-06,Spring,2011,Jan,1,0,Thu,Weekday,Clear,0.16,0.2273,0.64,0.0,0,4,4,Low Activity
118,2011-01-06,Spring,2011,Jan,2,0,Thu,Weekday,Clear,0.16,0.2273,0.64,0.0,0,2,2,Low Activity
119,2011-01-06,Spring,2011,Jan,4,0,Thu,Weekday,Misty,0.16,0.197,0.64,0.0896,0,1,1,Low Activity
120,2011-01-06,Spring,2011,Jan,5,0,Thu,Weekday,Misty,0.14,0.1818,0.69,0.0896,0,4,4,Low Activity
121,2011-01-06,Spring,2011,Jan,6,0,Thu,Weekday,Misty,0.14,0.1667,0.63,0.1045,0,36,36,Low Activity
122,2011-01-06,Spring,2011,Jan,7,0,Thu,Weekday,Misty,0.16,0.2273,0.59,0.0,0,95,95,Medium Activity
123,2011-01-06,Spring,2011,Jan,8,0,Thu,Weekday,Clear,0.16,0.2273,0.59,0.0,3,216,219,Medium Activity
124,2011-01-06,Spring,2011,Jan,9,0,Thu,Weekday,Misty,0.18,0.2424,0.51,0.0,6,116,122,Medium Activity
125,2011-01-06,Spring,2011,Jan,10,0,Thu,Weekday,Clear,0.2,0.2576,0.47,0.0,3,42,45,Medium Activity
126,2011-01-06,Spring,2011,Jan,11,0,Thu,Weekday,Clear,0.22,0.2576,0.44,0.0896,2,57,59,Medium Activity
127,2011-01-06,Spring,2011,Jan,12,0,Thu,Weekday,Clear,0.26,0.2879,0.35,0.0,6,78,84,Medium Activity
128,2011-01-06,Spring,2011,Jan,13,0,Thu,Weekday,Clear,0.26,0.2727,0.35,0.1045,12,55,67,Medium Activity
129,2011-01-06,Spring,2011,Jan,14,0,Thu,Weekday,Clear,0.28,0.2727,0.36,0.1642,11,59,70,Medium Activity
130,2011-01-06,Spring,2011,Jan,15,0,Thu,Weekday,Clear,0.28,0.2727,0.36,0.0,8,54,62,Medium Activity
131,2011-01-06,Spring,2011,Jan,16,0,Thu,Weekday,Clear,0.26,0.2576,0.38,0.1642,12,74,86,Medium Activity
132,2011-01-06,Spring,2011,Jan,17,0,Thu,Weekday,Clear,0.22,0.2273,0.51,0.1642,9,163,172,Medium Activity
133,2011-01-06,Spring,2011,Jan,18,0,Thu,Weekday,Clear,0.22,0.2273,0.51,0.1343,5,158,163,Medium Activity
134,2011-01-06,Spring,2011,Jan,19,0,Thu,Weekday,Clear,0.22,0.2576,0.55,0.0896,3,109,112,Medium Activity
135,2011-01-06,Spring,2011,Jan,20,0,Thu,Weekday,Clear,0.2,0.2121,0.51,0.1642,3,66,69,Medium Activity
136,2011-01-06,Spring,2011,Jan,21,0,Thu,Weekday,Misty,0.22,0.2121,0.55,0.2239,0,48,48,Medium Activity
137,2011-01-06,Spring,2011,Jan,22,0,Thu,Weekday,Misty,0.22,0.2121,0.51,0.2836,1,51,52,Medium Activity
138,2011-01-06,Spring,2011,Jan,23,0,Thu,Weekday,Misty,0.2,0.197,0.59,0.194,4,19,23,Low Activity
139,2011-01-07,Spring,2011,Jan,0,0,Fri,Weekday,Misty,0.2,0.197,0.64,0.194,4,13,17,Low Activity
140,2011-01-07,Spring,2011,Jan,1,0,Fri,Weekday,Misty,0.2,0.197,0.69,0.2239,2,5,7,Low Activity
141,2011-01-07,Spring,2011,Jan,2,0,Fri,Weekday,Misty,0.2,0.197,0.69,0.2239,0,1,1,Low Activity
142,2011-01-07,Spring,2011,Jan,4,0,Fri,Weekday,Misty,0.2,0.2121,0.69,0.1343,0,1,1,Low Activity
143,2011-01-07,Spring,2011,Jan,5,0,Fri,Weekday,Light_rain,0.22,0.2727,0.55,0.0,0,5,5,Low Activity
144,2011-01-07,Spring,2011,Jan,6,0,Fri,Weekday,Misty,0.2,0.2576,0.69,0.0,8,26,34,Low Activity
145,2011-01-07,Spring,2011,Jan,7,0,Fri,Weekday,Clear,0.2,0.2121,0.69,0.1343,8,76,84,Medium Activity
146,2011-01-07,Spring,2011,Jan,8,0,Fri,Weekday,Clear,0.2,0.197,0.51,0.2537,20,190,210,Medium Activity
147,2011-01-07,Spring,2011,Jan,9,0,Fri,Weekday,Clear,0.2,0.1818,0.47,0.2985,9,125,134,Medium Activity
148,2011-01-07,Spring,2011,Jan,10,0,Fri,Weekday,Clear,0.22,0.197,0.37,0.3284,16,47,63,Medium Activity
149,2011-01-07,Spring,2011,Jan,11,0,Fri,Weekday,Misty,0.2,0.197,0.4,0.2239,19,48,67,Medium Activity
150,2011-01-07,Spring,2011,Jan,12,0,Fri,Weekday,Misty,0.2,0.197,0.37,0.2537,9,50,59,Medium Activity
151,2011-01-07,Spring,2011,Jan,13,0,Fri,Weekday,Misty,0.2,0.1818,0.37,0.2836,9,64,73,Medium Activity
152,2011-01-07,Spring,2011,Jan,14,0,Fri,Weekday,Misty,0.2,0.197,0.4,0.2537,7,43,50,Medium Activity
153,2011-01-07,Spring,2011,Jan,15,0,Fri,Weekday,Misty,0.2,0.2121,0.37,0.1642,9,63,72,Medium Activity
154,2011-01-07,Spring,2011,Jan,16,0,Fri,Weekday,Misty,0.2,0.2121,0.37,0.1642,5,82,87,Medium Activity
155,2011-01-07,Spring,2011,Jan,17,0,Fri,Weekday,Misty,0.2,0.2576,0.37,0.0,9,178,187,Medium Activity
156,2011-01-07,Spring,2011,Jan,18,0,Fri,Weekday,Clear,0.2,0.2273,0.4,0.0896,7,116,123,Medium Activity
157,2011-01-07,Spring,2011,Jan,19,0,Fri,Weekday,Clear,0.16,0.197,0.55,0.0896,3,92,95,Medium Activity
158,2011-01-07,Spring,2011,Jan,20,0,Fri,Weekday,Clear,0.18,0.2121,0.47,0.1045,1,50,51,Medium Activity
159,2011-01-07,Spring,2011,Jan,21,0,Fri,Weekday,Clear,0.18,0.197,0.47,0.1343,0,39,39,Low Activity
160,2011-01-07,Spring,2011,Jan,22,0,Fri,Weekday,Misty,0.18,0.197,0.43,0.1642,2,34,36,Low Activity
161,2011-01-07,Spring,2011,Jan,23,0,Fri,Weekday,Misty,0.18,0.197,0.51,0.1642,1,14,15,Low Activity
162,2011-01-08,Spring,2011,Jan,0,0,Sat,Weekend,Misty,0.18,0.197,0.51,0.1642,1,24,25,Low Activity
163,2011-01-08,Spring,2011,Jan,1,0,Sat,Weekend,Misty,0.18,0.2121,0.55,0.0896,1,15,16,Low Activity
164,2011-01-08,Spring,2011,Jan,2,0,Sat,Weekend,Misty,0.18,0.2424,0.55,0.0,3,13,16,Low Activity
165,2011-01-08,Spring,2011,Jan,3,0,Sat,Weekend,Light_rain,0.18,0.197,0.55,0.1642,0,7,7,Low Activity
166,2011-01-08,Spring,2011,Jan,4,0,Sat,Weekend,Light_rain,0.18,0.197,0.55,0.1642,0,1,1,Low Activity
167,2011-01-08,Spring,2011,Jan,5,0,Sat,Weekend,Misty,0.16,0.1667,0.74,0.1642,0,5,5,Low Activity
168,2011-01-08,Spring,2011,Jan,6,0,Sat,Weekend,Misty,0.16,0.1667,0.74,0.1642,0,2,2,Low Activity
169,2011-01-08,Spring,2011,Jan,7,0,Sat,Weekend,Misty,0.16,0.1818,0.74,0.1045,1,8,9,Low Activity
170,2011-01-08,Spring,2011,Jan,8,0,Sat,Weekend,Light_rain,0.16,0.1818,0.93,0.1045,0,15,15,Low Activity
171,2011-01-08,Spring,2011,Jan,9,0,Sat,Weekend,Light_rain,0.16,0.1818,0.93,0.1045,0,20,20,Low Activity
172,2011-01-08,Spring,2011,Jan,10,0,Sat,Weekend,Misty,0.18,0.197,0.8,0.1642,5,56,61,Medium Activity
173,2011-01-08,Spring,2011,Jan,11,0,Sat,Weekend,Misty,0.2,0.1818,0.69,0.3881,2,60,62,Medium Activity
174,2011-01-08,Spring,2011,Jan,12,0,Sat,Weekend,Misty,0.2,0.1818,0.59,0.3582,8,90,98,Medium Activity
175,2011-01-08,Spring,2011,Jan,13,0,Sat,Weekend,Clear,0.2,0.1818,0.44,0.3284,7,95,102,Medium Activity
176,2011-01-08,Spring,2011,Jan,14,0,Sat,Weekend,Clear,0.2,0.1667,0.32,0.4925,12,83,95,Medium Activity
177,2011-01-08,Spring,2011,Jan,15,0,Sat,Weekend,Clear,0.2,0.1667,0.32,0.4478,5,69,74,Medium Activity
178,2011-01-08,Spring,2011,Jan,16,0,Sat,Weekend,Clear,0.18,0.1364,0.29,0.4478,8,68,76,Medium Activity
179,2011-01-08,Spring,2011,Jan,17,0,Sat,Weekend,Clear,0.16,0.1212,0.37,0.5522,5,64,69,Medium Activity
180,2011-01-08,Spring,2011,Jan,18,0,Sat,Weekend,Clear,0.14,0.1212,0.39,0.2985,3,52,55,Medium Activity
181,2011-01-08,Spring,2011,Jan,19,0,Sat,Weekend,Clear,0.14,0.1212,0.36,0.2537,4,26,30,Low Activity
182,2011-01-08,Spring,2011,Jan,20,0,Sat,Weekend,Clear,0.12,0.1212,0.36,0.2537,0,28,28,Low Activity
183,2011-01-08,Spring,2011,Jan,21,0,Sat,Weekend,Clear,0.12,0.1061,0.39,0.3582,2,35,37,Low Activity
184,2011-01-08,Spring,2011,Jan,22,0,Sat,Weekend,Clear,0.12,0.1061,0.36,0.3881,1,33,34,Low Activity
185,2011-01-08,Spring,2011,Jan,23,0,Sat,Weekend,Clear,0.1,0.0606,0.39,0.4478,0,22,22,Low Activity
186,2011-01-09,Spring,2011,Jan,0,0,Sun,Weekend,Clear,0.1,0.0758,0.42,0.3881,1,24,25,Low Activity
187,2011-01-09,Spring,2011,Jan,1,0,Sun,Weekend,Clear,0.1,0.0606,0.42,0.4627,0,12,12,Low Activity
188,2011-01-09,Spring,2011,Jan,2,0,Sun,Weekend,Clear,0.1,0.0606,0.46,0.4627,0,11,11,Low Activity
189,2011-01-09,Spring,2011,Jan,3,0,Sun,Weekend,Clear,0.1,0.0758,0.46,0.4179,0,4,4,Low Activity
190,2011-01-09,Spring,2011,Jan,4,0,Sun,Weekend,Clear,0.08,0.0909,0.53,0.194,0,1,1,Low Activity
191,2011-01-09,Spring,2011,Jan,5,0,Sun,Weekend,Clear,0.08,0.0909,0.53,0.194,0,1,1,Low Activity
192,2011-01-09,Spring,2011,Jan,6,0,Sun,Weekend,Clear,0.1,0.0909,0.49,0.2836,0,1,1,Low Activity
193,2011-01-09,Spring,2011,Jan,7,0,Sun,Weekend,Clear,0.08,0.0909,0.53,0.194,1,5,6,Low Activity
194,2011-01-09,Spring,2011,Jan,8,0,Sun,Weekend,Clear,0.1,0.0909,0.49,0.2836,0,10,10,Low Activity
195,2011-01-09,Spring,2011,Jan,9,0,Sun,Weekend,Clear,0.12,0.0758,0.46,0.5224,0,19,19,Low Activity
196,2011-01-09,Spring,2011,Jan,10,0,Sun,Weekend,Clear,0.14,0.1061,0.43,0.3881,0,49,49,Medium Activity
197,2011-01-09,Spring,2011,Jan,11,0,Sun,Weekend,Clear,0.16,0.1212,0.4,0.5224,2,47,49,Medium Activity
198,2011-01-09,Spring,2011,Jan,12,0,Sun,Weekend,Clear,0.18,0.1364,0.37,0.4478,4,79,83,Medium Activity
199,2011-01-09,Spring,2011,Jan,13,0,Sun,Weekend,Clear,0.2,0.1667,0.34,0.4478,6,69,75,Medium Activity
200,2011-01-09,Spring,2011,Jan,14,0,Sun,Weekend,Clear,0.22,0.1818,0.32,0.4627,8,64,72,Medium Activity
201,2011-01-09,Spring,2011,Jan,15,0,Sun,Weekend,Clear,0.22,0.197,0.35,0.3582,5,77,82,Medium Activity
202,2011-01-09,Spring,2011,Jan,16,0,Sun,Weekend,Clear,0.2,0.1667,0.34,0.4478,13,79,92,Medium Activity
203,2011-01-09,Spring,2011,Jan,17,0,Sun,Weekend,Clear,0.18,0.1515,0.37,0.3881,3,59,62,Medium Activity
204,2011-01-09,Spring,2011,Jan,18,0,Sun,Weekend,Clear,0.16,0.1364,0.4,0.3284,4,44,48,Medium Activity
205,2011-01-09,Spring,2011,Jan,19,0,Sun,Weekend,Clear,0.16,0.1364,0.43,0.3284,1,40,41,Medium Activity
206,2011-01-09,Spring,2011,Jan,20,0,Sun,Weekend,Clear,0.14,0.1212,0.46,0.2537,0,38,38,Low Activity
